Metric: | MAE	| RMSE	| Loss	
Avg:	0.6475	1.6426	1.6959
Min:	0.6366	1.6276	1.6014

==================================
Detailed results for 50 epochs:
0.7023	1.7669	2.6848
0.6773	1.7153	2.0064
0.6628	1.6923	1.9088
0.6571	1.6779	1.8566
0.6530	1.6689	1.8212
0.6533	1.6620	1.7954
0.6527	1.6572	1.7757
0.6518	1.6540	1.7602
0.6479	1.6505	1.7464
0.6424	1.6463	1.7340
0.6446	1.6460	1.7238
0.6417	1.6440	1.7148
0.6491	1.6438	1.7084
0.6480	1.6403	1.7020
0.6440	1.6406	1.6937
0.6453	1.6404	1.6882
0.6415	1.6373	1.6814
0.6427	1.6372	1.6760
0.6445	1.6372	1.6708
0.6434	1.6355	1.6662
0.6480	1.6367	1.6630
0.6483	1.6361	1.6589
0.6399	1.6336	1.6553
0.6481	1.6330	1.6515
0.6386	1.6334	1.6454
0.6383	1.6307	1.6478
0.6483	1.6337	1.6419
0.6405	1.6328	1.6394
0.6452	1.6313	1.6358
0.6412	1.6323	1.6349
0.6426	1.6313	1.6333
0.6479	1.6319	1.6305
0.6366	1.6309	1.6276
0.6472	1.6294	1.6240
0.6443	1.6316	1.6245
0.6462	1.6309	1.6237
0.6510	1.6316	1.6205
0.6368	1.6316	1.6177
0.6428	1.6307	1.6171
0.6414	1.6276	1.6162
0.6493	1.6301	1.6143
0.6433	1.6285	1.6129
0.6472	1.6299	1.6115
0.6461	1.6278	1.6077
0.6508	1.6277	1.6075
0.6415	1.6295	1.6058
0.6453	1.6324	1.6048
0.6401	1.6323	1.6035
0.6526	1.6285	1.6014
0.6386	1.6299	1.6024
